,freq,fake,reliable,idf_weight,fakeness_score 
provid,"(418, 529)","(2.867632714188695, 525.4673618661302)","(3.5873724489795915, 595.6022717986434)",2.4790836364852114,0.06663684670464631
either,"(404, 527)","(2.874966813201965, 542.3160147516173)","(1.5943877551020407, 238.24090871945737)",2.5130592412075927,-0.5636503839118485
five,"(353, 527)","(2.3835821793128535, 521.2551986447584)","(3.720238095238095, 635.309089918553)",2.6476138322983793,0.10896871722045298
silver,"(269, 524)","(1.9655385355564454, 550.7403411943609)","(0.1328656462585034, 19.85340905995478)",2.9184009306176675,-0.9999999999951265
hard,"(394, 524)","(2.713616634910018, 519.1491170340726)","(3.1887755102040813, 615.4556808585983)",2.538054293998892,0.09248915340238839
sourc,"(344, 521)","(2.456923169445557, 538.1038515302456)","(1.1957908163265305, 198.53409059954782)",2.6733589613122795,-0.693772467355362
govern,"(315, 521)","(2.251568397073988, 538.1038515302456)","(1.0629251700680271, 198.53409059954782)",2.761134572194665,-0.693772467355362
four,"(356, 520)","(2.4275867733924756, 511.7778313966719)","(3.3216411564625847, 675.0159080384626)",2.6391773368158344,0.15814290276847864
mind,"(366, 518)","(2.5816028526711525, 524.4143210607873)","(1.8601190476190474, 397.06818119909565)",2.6115589009134488,-0.15899749968516275
team,"(313, 518)","(2.178227406941285, 513.8839130073578)","(2.1258503401360542, 595.6022717986434)",2.7674817848716367,0.0793433938551591
run,"(388, 515)","(2.713616634910018, 511.7778313966719)","(2.391581632653061, 575.7488627386887)",2.5533568114257297,0.062417581284024415
everyon,"(396, 510)","(2.735618931949829, 510.72479059132894)","(3.055909863945578, 496.33522649886953)",2.5330050532790316,-0.014494796583886749
massiv,"(340, 509)","(2.434920872405746, 525.4673618661302)","(1.0629251700680271, 198.53409059954782)",2.6850175019916374,-0.676898897338607
strong,"(331, 506)","(2.2882388921403396, 498.0883009272136)","(2.5244472789115644, 655.1624989785078)",2.7117570630335366,0.15638320064783762
trade,"(205, 506)","(1.4888220996938748, 526.5204026714731)","(0.2657312925170068, 119.12045435972868)",3.188831703519824,-0.9366516601390426
credit,"(222, 505)","(1.5988335848929296, 527.5734434768161)","(0.5314625850340136, 79.41363623981913)",3.1095730899777507,-0.9929430926931467
statement,"(306, 502)","(1.9875408325962565, 461.23187274021046)","(4.650297619047619, 1270.618179837106)",2.7900197639694606,0.7051234573950393
freedom,"(336, 502)","(2.229566100034177, 449.6484238814381)","(4.2517006802721085, 1489.0056794966085)",2.6968135691762223,0.8196481399394628
thought,"(364, 500)","(2.5449323576048006, 500.1943825378995)","(2.2587159863945576, 496.33522649886953)",2.6170219027546464,-0.0038876311723452517
key,"(342, 499)","(2.456923169445557, 517.0430354233866)","(0.9300595238095237, 158.82727247963825)",2.6791712415518334,-0.8102270890115625
novemb,"(260, 498)","(1.7821860602246875, 504.4065457592713)","(2.2587159863945576, 377.21477213914085)",2.9522897157111543,-0.16701391514723196
wont,"(370, 497)","(2.6109392487242338, 504.4065457592713)","(1.8601190476190474, 357.36136307918605)",2.6007216233496857,-0.2028828938253413
recent,"(412, 493)","(2.8016258230692617, 483.34572965241233)","(3.9859693877551017, 675.0159080384626)",2.4935034970135184,0.19571639033976207
line,"(334, 493)","(2.346911684246502, 502.3004641485854)","(1.8601190476190474, 317.6545449592765)",2.7027641966729727,-0.28272330644962207
issu,"(336, 492)","(2.2369001990474473, 468.6031583776111)","(4.118835034013605, 933.1102258178747)",2.6968135691762223,0.45867302748303773
europ,"(237, 491)","(1.7161791691052546, 512.8308722020148)","(0.39859693877551017, 79.41363623981913)",3.0445024379234202,-0.9915096502261024
list,"(289, 489)","(2.0168772286493377, 495.98221931652773)","(1.8601190476190474, 357.36136307918605)",2.846967500288879,-0.19155464687927914
togeth,"(360, 489)","(2.4055844763526646, 465.44403596158224)","(4.2517006802721085, 933.1102258178747)",2.6280382631328254,0.46399244056174593
3,"(318, 488)","(2.2589024960872583, 500.1943825378995)","(1.328656462585034, 258.09431777941217)",2.7516886581320397,-0.4374028776932447
care,"(294, 488)","(1.9435362385166346, 440.17105663335155)","(3.8531037414965983, 1389.7386341968347)",2.8298789094673436,0.7926922583270044
common,"(332, 487)","(2.346911684246502, 500.1943825378995)","(1.5943877551020407, 238.24090871945737)",2.7087504462166034,-0.5003447667735456
blood,"(162, 487)","(1.1074489510038181, 489.66397448447003)","(1.4615221088435373, 436.7749993190052)",3.422829681789269,-0.06047100354438417
avail,"(354, 487)","(2.486259565498638, 491.77005609515595)","(1.9929846938775508, 397.06818119909565)",2.644793751467195,-0.1186893122307201
action,"(335, 487)","(2.29557299115361, 486.5048520684412)","(2.9230442176870746, 496.33522649886953)",2.6997844566851774,0.010102715249686645
form,"(354, 486)","(2.4935936645119083, 493.8761377058418)","(1.8601190476190474, 337.5079540192313)",2.644793751467195,-0.22759452215649412
univers,"(273, 485)","(1.84085885233085, 452.8075462974669)","(2.9230442176870746, 1091.937498297513)",2.9037001881074973,0.6079993520872473
young,"(265, 484)","(1.6868427730521733, 431.746730190608)","(4.650297619047619, 1469.152270436654)",2.933321013432594,0.8340827217049371
kind,"(307, 482)","(2.053547723715689, 467.55011757226816)","(3.5873724489795915, 754.4295442782817)",2.786768785813615,0.29751405555592236
meet,"(255, 482)","(1.7455155651583358, 484.3987704577553)","(2.2587159863945576, 436.7749993190052)",2.9716251982107575,-0.054463562970104684
mr,"(177, 481)","(1.2834673273223058, 504.4065457592713)","(0.2657312925170068, 39.70681811990956)",3.3348480011206214,-0.9999834666989539
internet,"(203, 480)","(1.4668198026540638, 502.3004641485854)","(0.39859693877551017, 59.56022717986434)",3.1985831216004383,-0.998818454340093
2015,"(313, 480)","(2.1195546148351223, 472.8153215989829)","(3.1887755102040813, 615.4556808585983)",2.7674817848716367,0.14970779211426843
defens,"(235, 479)","(1.6648404760123625, 494.9291785111848)","(1.0629251700680271, 178.68068153959302)",3.05293774732477,-0.7088926391356851
longer,"(360, 479)","(2.5302641595782602, 485.45181126309825)","(1.9929846938775508, 357.36136307918605)",2.6280382631328254,-0.17732257383361605
capit,"(261, 479)","(1.8555270503573906, 487.5578928737841)","(1.0629251700680271, 317.6545449592765)",2.9484670810868767,-0.2612356983793488
hit,"(332, 478)","(2.390916278326124, 497.03526012187064)","(0.7971938775510203, 119.12045435972868)",2.7087504462166034,-0.9195757209922258
behind,"(378, 474)","(2.640275644777315, 477.0274848203547)","(2.391581632653061, 416.9215902590504)",2.579393168893948,-0.07195838422533918
via,"(342, 473)","(2.4275867733924756, 460.17883193486756)","(1.4615221088435373, 714.7227261583721)",2.6791712415518334,0.26972815484436596
forc,"(243, 471)","(1.7088450700919844, 473.86836240432586)","(1.328656462585034, 416.9215902590504)",3.0196152140173234,-0.06818836306842158
way,"(333, 471)","(2.2735706941137988, 467.55011757226816)","(3.055909863945578, 536.0420446187791)",2.7057528420535264,0.07311484096954413
demand,"(264, 469)","(1.8775293473972017, 485.45181126309825)","(1.0629251700680271, 158.82727247963825)",2.9370860781212573,-0.7732007795632576
warn,"(286, 469)","(2.0095431296360675, 479.13356643104055)","(1.5943877551020407, 277.94772683936696)",2.8573626042892193,-0.34689801898108397
creat,"(332, 467)","(2.3322434862199612, 471.76228079363995)","(1.8601190476190474, 377.21477213914085)",2.7087504462166034,-0.12467117022418517
itself,"(353, 467)","(2.500927763525179, 473.86836240432586)","(1.5943877551020407, 337.5079540192313)",2.6476138322983793,-0.19930688074933312
week,"(340, 466)","(2.4055844763526646, 473.86836240432586)","(1.5943877551020407, 317.6545449592765)",2.6850175019916374,-0.24104786889645724
sens,"(314, 466)","(2.192895604967825, 469.656199182954)","(1.9929846938775508, 397.06818119909565)",2.7643031426530085,-0.09115126851323652
period,"(306, 465)","(2.2148979020076363, 485.45181126309825)","(0.5314625850340136, 79.41363623981913)",2.7900197639694606,-0.988035434630499
feel,"(305, 464)","(1.9875408325962565, 435.9588934119798)","(4.517431972789115, 992.6704529977391)",2.7932813454648704,0.5638711380427561
expect,"(290, 462)","(2.06821592174223, 474.92140320966877)","(1.0629251700680271, 218.3874996595026)",2.84352634066466,-0.5279772939109588
korean,"(115, 461)","(0.828753188499546, 478.08052562569765)","(0.2657312925170068, 138.97386341968348)",3.7627413027123917,-0.8396652502711834
hand,"(319, 461)","(2.2222320010209065, 461.23187274021046)","(2.1258503401360542, 456.62840837896)",2.74855974444042,-0.005040669051369018
singl,"(330, 461)","(2.3322434862199612, 469.656199182954)","(1.5943877551020407, 297.8011358993217)",2.7147727468630367,-0.28079045085901266
secret,"(280, 461)","(2.024211327662608, 481.23964804172647)","(0.5314625850340136, 79.41363623981913)",2.878482713503751,-0.9873878027295768
middl,"(302, 460)","(2.1195546148351223, 465.44403596158224)","(1.727253401360544, 357.36136307918605)",2.8031304073524796,-0.1500809215461255
citizen,"(292, 460)","(2.0168772286493377, 466.4970767669252)","(2.2587159863945576, 337.5079540192313)",2.8366793436993905,-0.1887980448490435
director,"(264, 459)","(1.8115224562777688, 460.17883193486756)","(2.2587159863945576, 436.7749993190052)",2.9370860781212573,-0.026785226452266442
nearli,"(352, 456)","(2.456923169445557, 460.17883193486756)","(2.2587159863945576, 377.21477213914085)",2.6504418884818968,-0.10952810051272943
servic,"(279, 452)","(1.8921975454237423, 432.79977099595095)","(2.790178571428571, 813.989771458146)",2.8820465091501744,0.41395676456643327
invest,"(223, 452)","(1.635504079959281, 475.9744440150117)","(0.0, 0.0)",3.1051008106093563,-1.0
publish,"(354, 451)","(2.412918575365935, 447.54234227075216)","(3.3216411564625847, 516.1886355588243)",2.644793751467195,0.0765425034943863
currenc,"(174, 450)","(1.2687991292957652, 472.8153215989829)","(0.1328656462585034, 19.85340905995478)",3.351835952124431,-0.9999999997531337
legal,"(276, 449)","(1.862861149370661, 432.79977099595095)","(2.9230442176870746, 754.4295442782817)",2.8928147395473047,0.35536315328340917
latest,"(357, 449)","(2.5229300605649896, 457.0197095188387)","(1.727253401360544, 297.8011358993217)",2.63638091441185,-0.2611327348161795
someon,"(309, 449)","(2.0755500207555, 432.79977099595095)","(3.454506802721088, 754.4295442782817)",2.780298365309834,0.35536315328340917
christ,"(136, 448)","(0.7114076042872209, 384.3598939501754)","(5.181760204081632, 1647.832951976247)",3.5964826048479686,0.9279750930202086
despit,"(340, 446)","(2.317575288193421, 434.9058526066368)","(3.1887755102040813, 655.1624989785078)",2.6850175019916374,0.2479462721159451
speech,"(244, 446)","(1.6721745750256327, 440.17105663335155)","(2.1258503401360542, 555.8954536787339)",3.0155269008821706,0.13070190934834747
soon,"(333, 445)","(2.3322434862199612, 451.75450549212394)","(1.9929846938775508, 317.6545449592765)",2.7057528420535264,-0.20799837669464993
outsid,"(314, 445)","(1.8995316444370127, 395.9433428089478)","(7.307610544217686, 1369.8852251368799)",2.7643031426530085,0.8425504812174227
grow,"(315, 444)","(2.1488910108882036, 439.1180158280086)","(2.9230442176870746, 536.0420446187791)",2.761134572194665,0.10991627273996452
mass,"(258, 443)","(1.8188565552910392, 453.86058710280986)","(1.328656462585034, 238.24090871945737)",2.9599791038481733,-0.4239719044421245
individu,"(259, 441)","(1.8188565552910392, 451.75450549212394)","(1.4615221088435373, 238.24090871945737)",2.9561270189616318,-0.42033957072925054
dollar,"(257, 440)","(1.8335247533175798, 453.86058710280986)","(0.9300595238095237, 178.68068153959302)",2.963846084691669,-0.6469484161462387
cia,"(136, 439)","(0.9974374658047633, 462.2849135455534)","(0.0, 0.0)",3.5964826048479686,-1.0
land,"(231, 439)","(1.5988335848929296, 439.1180158280086)","(1.727253401360544, 436.7749993190052)",3.0700248781358463,-0.0026821714773714866
5,"(319, 439)","(2.2809047931270694, 453.86058710280986)","(1.0629251700680271, 158.82727247963825)",2.74855974444042,-0.7300277116927645
lord,"(131, 438)","(0.7260758023137616, 402.26158764100546)","(4.2517006802721085, 1111.7909073574679)",3.633633979887958,0.7073825157899449
began,"(311, 436)","(2.1195546148351223, 427.5345669692362)","(2.9230442176870746, 595.6022717986434)",2.7738695421395034,0.19406182745601086
near,"(324, 435)","(2.29557299115361, 444.38321985472334)","(1.4615221088435373, 258.09431777941217)",2.7330603641063775,-0.3460004330660049
lost,"(301, 435)","(2.06821592174223, 432.79977099595095)","(2.5244472789115644, 476.48181743891473)",2.806435103023611,0.05042170296105475
articl,"(349, 434)","(2.5449323576048006, 454.9136279081528)","(0.2657312925170068, 39.70681811990956)",2.6589743634556173,-0.9999424982700654
mean,"(347, 434)","(2.4495890704322867, 442.2771382440375)","(1.727253401360544, 277.94772683936696)",2.6647033965988443,-0.287291951174371
peac,"(222, 434)","(1.5474948918000373, 441.2240974386945)","(1.4615221088435373, 297.8011358993217)",3.1095730899777507,-0.23625430711754702
illeg,"(227, 433)","(1.6061676839061998, 443.3301790493804)","(1.0629251700680271, 238.24090871945737)",3.087409062125895,-0.4056756969359281
california,"(210, 432)","(1.3934788125213606, 421.2163221371785)","(2.657312925170068, 635.309089918553)",3.1648612365619626,0.2488029472637876
himself,"(276, 431)","(1.8555270503573906, 424.3754445532074)","(3.055909863945578, 555.8954536787339)",2.8928147395473047,0.1537286740223036
mueller,"(106, 430)","(0.7774144954066539, 452.8075462974669)","(0.0, 0.0)",3.8434302139625345,-1.0
goe,"(343, 426)","(2.442254971419016, 437.01193421732273)","(1.328656462585034, 218.3874996595026)",2.6762608786128026,-0.462543670215282
cash,"(194, 426)","(1.4154811095611717, 447.54234227075216)","(0.1328656462585034, 19.85340905995478)",3.243680943787172,-0.9999999991183228
decis,"(277, 426)","(1.7308473671317952, 388.5720571715472)","(5.447491496598639, 1131.6443164174225)",2.8892124301763182,0.7425580549696271
space,"(229, 425)","(1.6281699809460108, 435.9588934119798)","(0.9300595238095237, 218.3874996595026)",3.078679194374917,-0.4606464261964024
fall,"(284, 425)","(2.0022090306227973, 432.79977099595095)","(1.4615221088435373, 277.94772683936696)",2.864353195497611,-0.2715748148448792
thousand,"(316, 424)","(2.1268887138483925, 405.42071005703434)","(3.454506802721088, 774.2829533382364)",2.7579760098719355,0.425929051064597
mark,"(205, 423)","(1.3861447135080902, 426.48152616389325)","(2.1258503401360542, 357.36136307918605)",3.188831703519824,-0.09640868868237584
saw,"(302, 423)","(2.1415569118749334, 434.9058526066368)","(1.328656462585034, 198.53409059954782)",2.8031304073524796,-0.5336914425828724
east,"(234, 422)","(1.6721745750256327, 433.85281180129385)","(0.7971938775510203, 198.53409059954782)",3.0571822358702136,-0.5317920899750306
wall,"(265, 420)","(1.8701952483839313, 428.58760777457917)","(1.328656462585034, 258.09431777941217)",2.933321013432594,-0.3187836725513926
committe,"(226, 420)","(1.635504079959281, 439.1180158280086)","(0.39859693877551017, 59.56022717986434)",3.0918027423047247,-0.9965906407084281
watch,"(272, 419)","(1.8775293473972017, 404.3676692516914)","(2.1258503401360542, 694.8693170984174)",2.907355162936578,0.3445134433334489
perhap,"(298, 418)","(2.0828841197687704, 423.3224037478644)","(1.8601190476190474, 317.6545449592765)",2.816415225780335,-0.1648081591705769
variou,"(314, 417)","(2.1708933079280146, 417.0041589158067)","(2.391581632653061, 416.9215902590504)",2.7643031426530085,-9.902180459786525e-05
certain,"(308, 416)","(2.0975523177953113, 407.5267916677202)","(2.9230442176870746, 575.7488627386887)",2.7835283422781667,0.20351228481717554
messag,"(249, 416)","(1.6061676839061998, 391.73117958757604)","(3.9859693877551017, 873.5499986380104)",2.995332353532664,0.547627737328422
religi,"(193, 416)","(1.0707784559374667, 288.5331806639673)","(6.244685374149659, 2819.184086513579)",3.2488197012412727,0.9996896323069124
involv,"(310, 415)","(2.1488910108882036, 415.95111811046377)","(2.2587159863945576, 397.06818119909565)",2.777078787512646,-0.02377347249437134
leader,"(287, 415)","(1.8555270503573906, 383.3068531448325)","(4.517431972789115, 1012.5238620576939)",2.8538855493257547,0.6754912193038127
worth,"(303, 413)","(2.1342228128616627, 420.16328133183555)","(1.5943877551020407, 277.94772683936696)",2.799836596732918,-0.25039245663829257
ask,"(308, 412)","(1.9508703375299048, 370.6703634807171)","(5.580357142857142, 1191.2045435972868)",2.7835283422781667,0.8029370826626605
bibl,"(183, 410)","(0.9974374658047633, 325.38960885097043)","(6.244685374149659, 2005.194315055433)",3.3017141031772055,0.9886098385625788
head,"(310, 408)","(2.1562251099014738, 411.738954889092)","(2.1258503401360542, 337.5079540192313)",2.777078787512646,-0.10952810051272943
consid,"(295, 407)","(2.06088182272896, 409.6328732784061)","(1.8601190476190474, 357.36136307918605)",2.8264959563086918,-0.07300525217138343
european,"(210, 407)","(1.4814880006806044, 418.0571997211497)","(1.0629251700680271, 198.53409059954782)",3.1648612365619626,-0.5026606423405806
realiti,"(280, 405)","(1.928868040490094, 400.1555060303196)","(2.2587159863945576, 496.33522649886953)",2.878482713503751,0.1196026866208526
situat,"(255, 405)","(1.7675178621981469, 407.5267916677202)","(1.8601190476190474, 357.36136307918605)",2.9716251982107575,-0.07007362386567528
missil,"(122, 404)","(0.894760079618979, 425.4284853585503)","(0.0, 0.0)",3.70419615822583,-1.0
wrote,"(300, 404)","(1.8995316444370127, 368.5642818700312)","(5.447491496598639, 1072.0840892375581)",2.8097507559285493,0.741771175637078
12,"(285, 403)","(1.9435362385166346, 388.5720571715472)","(2.657312925170068, 675.0159080384626)",2.8608517913601728,0.3527536181011113
collaps,"(234, 402)","(1.4594857036407936, 383.3068531448325)","(4.650297619047619, 754.4295442782817)",3.0571822358702136,0.4495263485211045
democrat,"(231, 401)","(1.6208358819327404, 406.4737508623773)","(1.328656462585034, 297.8011358993217)",3.0700248781358463,-0.18046022221832947
age,"(249, 401)","(1.701510971078714, 400.1555060303196)","(2.2587159863945576, 416.9215902590504)",2.995332353532664,0.020946396639263787
wrong,"(272, 400)","(1.884863446410472, 390.6781387822331)","(1.9929846938775508, 575.7488627386887)",2.907355162936578,0.23252610064358326
led,"(299, 399)","(2.053547723715689, 390.6781387822331)","(2.5244472789115644, 555.8954536787339)",2.813077438969916,0.2083533960346311
100,"(268, 399)","(1.9141998424635533, 409.6328732784061)","(0.9300595238095237, 198.53409059954782)",2.9221101336833772,-0.4866365131370709
child,"(210, 398)","(1.2541309312692246, 341.1852209311146)","(5.181760204081632, 1469.152270436654)",3.1648612365619626,0.9292698884515684
releas,"(298, 398)","(1.9875408325962565, 384.3598939501754)","(3.5873724489795915, 655.1624989785078)",2.816415225780335,0.3383937067330556
octob,"(252, 398)","(1.7161791691052546, 394.89030200360486)","(2.391581632653061, 456.62840837896)",2.983408523865159,0.07801237147489948
amount,"(282, 395)","(2.0022090306227973, 405.42071005703434)","(1.1957908163265305, 198.53409059954782)",2.8713929992983833,-0.47849882063973515
hope,"(294, 393)","(2.0095431296360675, 366.4582002593453)","(2.657312925170068, 893.4034076979651)",2.8298789094673436,0.6162711482159768
british,"(176, 390)","(1.2027922381763323, 393.8372611982619)","(1.5943877551020407, 317.6545449592765)",3.3404786466274494,-0.1193429308428976
half,"(296, 389)","(2.0388795256891488, 388.5720571715472)","(2.391581632653061, 397.06818119909565)",2.8231244089476752,0.010932059321977272
air,"(238, 389)","(1.701510971078714, 398.0494244196337)","(0.7971938775510203, 218.3874996595026)",3.0403113169519584,-0.38960772390953946
agenc,"(230, 388)","(1.6281699809460108, 395.9433428089478)","(1.0629251700680271, 238.24090871945737)",3.0743426741359023,-0.3193944456715192
hold,"(305, 387)","(2.0828841197687704, 383.3068531448325)","(2.790178571428571, 456.62840837896)",2.7932813454648704,0.09535284335607885
inde,"(244, 387)","(1.7601837631848767, 403.3146284463484)","(0.5314625850340136, 79.41363623981913)",3.0155269008821706,-0.9667033470308677
15,"(278, 385)","(1.928868040490094, 389.6250979768901)","(1.9929846938775508, 297.8011358993217)",2.885623050873961,-0.15295997881015833
becam,"(274, 385)","(1.8995316444370127, 383.3068531448325)","(1.9929846938775508, 416.9215902590504)",2.9000585234857086,0.04382025780314458
center,"(270, 385)","(1.8188565552910392, 371.72340428606003)","(2.9230442176870746, 635.309089918553)",2.9147054349116175,0.3404005044421978
street,"(263, 384)","(1.8555270503573906, 392.784220392919)","(1.328656462585034, 218.3874996595026)",2.9408653721131506,-0.3793350839822546
wealth,"(172, 382)","(1.2321286342294135, 395.9433428089478)","(0.5314625850340136, 119.12045435972868)",3.363323729234074,-0.8216728088448028
rest,"(322, 382)","(2.2662365951005286, 388.5720571715472)","(1.727253401360544, 258.09431777941217)",2.7392313185857846,-0.2475220736550069
held,"(301, 381)","(2.024211327662608, 366.4582002593453)","(3.3216411564625847, 655.1624989785078)",2.806435103023611,0.374727508166385
develop,"(240, 381)","(1.723513268118525, 395.9433428089478)","(0.664328231292517, 99.26704529977391)",3.031981406229112,-0.9041191540520924
foundat,"(183, 381)","(1.217460436202873, 376.9886083127748)","(2.2587159863945576, 456.62840837896)",3.3017141031772055,0.10523519299487627
job,"(266, 379)","(1.8995316444370127, 390.6781387822331)","(0.9300595238095237, 158.82727247963825)",2.929570071300322,-0.6229941773131029
similar,"(317, 378)","(2.1708933079280146, 375.9355675074318)","(2.790178571428571, 416.9215902590504)",2.754827392661139,0.054458099993010434
father,"(153, 378)","(0.9094282776455196, 352.768669789887)","(3.8531037414965983, 853.6965895780556)",3.4795914490901674,0.610673640887119
exchang,"(205, 378)","(1.4741539016673342, 393.8372611982619)","(0.5314625850340136, 79.41363623981913)",3.188831703519824,-0.9625618342939508
term,"(264, 378)","(1.8995316444370127, 391.73117958757604)","(0.664328231292517, 119.12045435972868)",2.9370860781212573,-0.8158452545541545
tri,"(284, 377)","(1.9655385355564454, 372.776445091403)","(2.1258503401360542, 456.62840837896)",2.864353195497611,0.11199766708613224
jerusalem,"(83, 376)","(0.5353892279687333, 370.6703634807171)","(1.328656462585034, 476.48181743891473)",4.085186624437335,0.14176846576088709
return,"(248, 375)","(1.7528496641716063, 380.1477307288036)","(1.1957908163265305, 277.94772683936696)",2.999338769148103,-0.18180380911840388
els,"(306, 375)","(2.178227406941285, 384.3598939501754)","(1.1957908163265305, 198.53409059954782)",2.7900197639694606,-0.43657764497416485
night,"(265, 375)","(1.8188565552910392, 363.29907784331647)","(2.2587159863945576, 595.6022717986434)",2.933321013432594,0.30924778675745856
final,"(299, 374)","(2.1342228128616627, 383.3068531448325)","(1.0629251700680271, 198.53409059954782)",2.813077438969916,-0.4344286005166962
thu,"(255, 374)","(1.7821860602246875, 378.04164911811773)","(1.5943877551020407, 297.8011358993217)",2.9716251982107575,-0.13391244915032308
quit,"(294, 374)","(2.06088182272896, 378.04164911811773)","(1.727253401360544, 297.8011358993217)",2.8298789094673436,-0.13391244915032308
dr,"(174, 371)","(1.1147830500170886, 356.9808330112588)","(2.9230442176870746, 635.309089918553)",3.351835952124431,0.3712191947563863
4,"(257, 371)","(1.7528496641716063, 365.4051594540024)","(2.391581632653061, 476.48181743891473)",2.963846084691669,0.15083140943891782
30,"(279, 371)","(1.9435362385166346, 373.82948589674595)","(1.8601190476190474, 317.6545449592765)",2.8820465091501744,-0.0881917160787763
analysi,"(237, 369)","(1.4741539016673342, 349.60954737385816)","(4.783163265306122, 734.576135218327)",3.0445024379234202,0.5009446474948902
haven,"(362, 369)","(2.6476097437905852, 387.51901636620426)","(0.1328656462585034, 19.85340905995478)",2.622514912995947,-0.9999999818731069
access,"(249, 369)","(1.7308473671317952, 372.776445091403)","(1.727253401360544, 297.8011358993217)",2.995332353532664,-0.12522077819868638
impact,"(248, 368)","(1.7381814661450656, 373.82948589674595)","(1.4615221088435373, 258.09431777941217)",2.999338769148103,-0.220527965970017
facebook,"(186, 368)","(1.1807899411365215, 323.2835272402845)","(3.3216411564625847, 1211.0579526572417)",3.2855499581361935,0.8793873676328041
throughout,"(285, 366)","(1.906865743450283, 353.82171059522994)","(3.3216411564625847, 595.6022717986434)",2.8608517913601728,0.3289675274988342
sent,"(276, 366)","(1.9141998424635533, 364.3521186486594)","(1.9929846938775508, 397.06818119909565)",2.8928147395473047,0.04486607458620506
chines,"(158, 365)","(1.1147830500170886, 366.4582002593453)","(0.7971938775510203, 337.5079540192313)",3.4476602560724965,-0.04286196602417025
safeti,"(196, 364)","(1.3861447135080902, 375.9355675074318)","(0.9300595238095237, 138.97386341968348)",3.233481977257563,-0.6923943753989077
cut,"(243, 364)","(1.6795086740389031, 367.51124106468825)","(1.8601190476190474, 297.8011358993217)",3.0196152140173234,-0.11650984361293215
polici,"(217, 363)","(1.5548289908133077, 372.776445091403)","(0.664328231292517, 178.68068153959302)",3.132239518208654,-0.49535800821407605
ad,"(300, 362)","(1.9215339414768235, 329.6017720723422)","(5.048894557823129, 972.8170439377843)",2.8097507559285493,0.7512185095859933
plan,"(245, 362)","(1.7601837631848767, 375.9355675074318)","(0.664328231292517, 99.26704529977391)",3.0114552340192273,-0.8839509530915569
problem,"(259, 361)","(1.8335247533175798, 370.6703634807171)","(1.1957908163265305, 178.68068153959302)",2.9561270189616318,-0.49089774141381115
bubbl,"(128, 360)","(0.9387646736986008, 379.0946899234607)","(0.0, 0.0)",3.6566058935636407,-1.0
biggest,"(277, 359)","(1.9948749316095267, 372.776445091403)","(0.664328231292517, 99.26704529977391)",2.8892124301763182,-0.8804227192785945
morn,"(229, 359)","(1.562163089826578, 358.0338738166017)","(2.1258503401360542, 377.21477213914085)",3.078679194374917,0.026780024919082823
page,"(208, 358)","(1.4228152085744419, 353.82171059522994)","(1.8601190476190474, 436.7749993190052)",3.1743805849816495,0.11669068363715018
saudi,"(118, 358)","(0.8580895845526273, 375.9355675074318)","(0.1328656462585034, 19.85340905995478)",3.737229715054983,-0.9999999675128218
asset,"(199, 357)","(1.4594857036407936, 375.9355675074318)","(0.0, 0.0)",3.21837594982655,-1.0
seem,"(272, 356)","(1.928868040490094, 361.1929962326306)","(1.1957908163265305, 258.09431777941217)",2.907355162936578,-0.19711642487062297
want,"(278, 356)","(1.8995316444370127, 345.3973841524864)","(2.5244472789115644, 555.8954536787339)",2.885623050873961,0.2956248906609731
kill,"(237, 356)","(1.5988335848929296, 351.7156289845441)","(2.5244472789115644, 436.7749993190052)",3.0445024379234202,0.12033472493871344
respons,"(236, 356)","(1.5548289908133077, 341.1852209311146)","(3.1887755102040813, 635.309089918553)",3.048711198344878,0.4061838613413251
march,"(228, 355)","(1.4521516046275231, 299.0635887173967)","(3.9859693877551017, 1409.5920432567896)",3.0830346019567876,0.9523707337713692
pressur,"(193, 355)","(1.3861447135080902, 369.61732267537417)","(0.5314625850340136, 79.41363623981913)",3.2488197012412727,-0.9495480112252258
jame,"(224, 354)","(1.5768312878531185, 360.13995542728765)","(1.1957908163265305, 238.24090871945737)",3.100648443503551,-0.25039245663829257
violenc,"(184, 354)","(1.2027922381763323, 342.23826173645756)","(2.657312925170068, 575.7488627386887)",3.2962969718367856,0.32850555047189944
birth,"(239, 354)","(1.6208358819327404, 340.13218012577164)","(2.391581632653061, 615.4556808585983)",3.03613768818903,0.38398897638579377
civil,"(188, 353)","(1.2541309312692246, 346.45042495782934)","(2.2587159863945576, 476.48181743891473)",3.2749172157518256,0.18548995572449023
allow,"(253, 352)","(1.701510971078714, 336.9730577097428)","(2.790178571428571, 635.309089918553)",2.979465301090119,0.41585552840990925
attorney,"(195, 351)","(1.3494742184417388, 356.9808330112588)","(1.4615221088435373, 238.24090871945737)",3.238568458213937,-0.24416779677783718
dead,"(209, 350)","(1.4228152085744419, 326.44264965631334)","(1.9929846938775508, 794.1363623981913)",3.1696095835652827,0.6146426770689148
third,"(257, 349)","(1.7821860602246875, 348.5565065685152)","(1.8601190476190474, 357.36136307918605)",2.963846084691669,0.01262978622721711
role,"(252, 348)","(1.7381814661450656, 346.45042495782934)","(1.9929846938775508, 377.21477213914085)",2.983408523865159,0.04437019789601515
note,"(258, 348)","(1.6648404760123625, 324.3365680456275)","(4.118835034013605, 794.1363623981913)",2.9599791038481733,0.619533312279019
