type,words
reliable,"{'slaveri': 1, 'is': 1, 'still': 1, 'allow': 1, 'under': 1, 'wisconsin': 1, 'law': 1, 'as': 2, 'long': 1, 'it': 1, 'a': 2, 'punish': 1, 'for': 1, 'crime': 1}"
fake,"{'presid': 1, 'barack': 1, 'obama': 1, 'ha': 1, 'the': 1, 'power': 1, 'to': 1, 'stop': 1, 'deport': 1, 'for': 1, 'all': 1, 'undocu': 1, 'immigr': 1, 'in': 1, 'thi': 1, 'countri': 1}"
reliable,"{'foreign': 1, 'compani': 2, 'in': 1, 'the': 1, 'unit': 1, 'state': 1, 'have': 1, 'a': 1, 'significantli': 1, 'higher': 1, 'union': 1, 'rate': 1, 'than': 1, 'other': 1, 'overal': 1}"
reliable,"{'say': 1, 'some': 1, 'georgian': 1, 'can': 1, 'get': 1, 'health': 1, 'insur': 1, 'for': 1, '<cur><number>': 1, 'a': 1, 'month': 1}"
reliable,"{'say': 1, '<number>': 1, 'world': 1, 'war': 1, 'ii': 1, 'veteran': 1, 'die': 1, 'everi': 1, 'day': 1}"
reliable,"{'feder': 1, 'offici': 1, 'declar': 1, 'that': 1, 'grant': 1, 'fund': 1, 'could': 1, 'be': 1, 'use': 1, 'onli': 1, 'for': 1, 'milwauke': 1, 'streetcar': 1, 'project': 1, 'mean': 1, 'it': 1, 'isnt': 1, 'possibl': 1, 'to': 3, 'redirect': 1, 'the': 1, 'money': 1, 'other': 1, 'mode': 1, 'of': 1, 'public': 2, 'transport': 1, 'or': 1, 'our': 1, 'school': 1}"
reliable,"{'the': 2, 'john': 1, 'mccain': 1, 'twitter': 2, 'account': 2, 'ha': 2, 'more': 1, 'than': 1, '<number>': 2, 'million': 1, 'follow': 1, 'offici': 1, 'white': 1, 'hous': 1, 'onli': 1, 'about': 1}"
reliable,"{'ohio': 1, 'plan': 1, 'parenthood': 1, 'oper': 1, 'receiv': 1, 'million': 1, 'of': 1, 'taxpay': 1, 'dollar': 1, 'via': 1, 'feder': 1, 'grant': 1, 'in': 1, '<number>': 2, 'and': 1}"
fake,"{'say': 1, 'presid': 1, 'obama': 1, 'deal': 1, 'allow': 1, 'iran': 1, 'to': 1, 'produc': 1, 'a': 1, 'nuclear': 1, 'weapon': 1}"
fake,"{'the': 1, 'stimulu': 1, 'bill': 1, 'includ': 1, '<cur><number>': 1, 'for': 1, 'a': 1, 'sculptur': 1, 'garden': 1, 'in': 1, 'miami': 1}"
reliable,"{'thoma': 1, 'jefferson': 1, 'express': 1, 'strong': 1, 'support': 1, 'for': 1, 'a': 1, 'balanc': 1, 'budget': 1, 'amend': 1, 'in': 1, '<number>': 1}"
reliable,"{'say': 1, 'marco': 1, 'rubio': 1, 'went': 1, 'on': 2, 'univis': 1, 'and': 1, 'in': 2, 'spanish': 1, 'he': 2, 'promis': 1, 'that': 1, 'would': 1, 'not': 1, 'the': 1, 'first': 1, 'day': 1, 'offic': 1, 'rescind': 1, 'presid': 1, 'obama': 1, 'illeg': 1, 'execut': 1, 'action': 1}"
reliable,"{'under': 1, 'presid': 1, 'obama': 1, 'us': 1, 'secur': 1, 'fund': 1, 'for': 1, 'israel': 1, 'is': 1, 'at': 1, 'an': 1, 'alltim': 1, 'high': 1}"
fake,"{'say': 1, 'state': 1, 'rep': 1, 'sandi': 1, 'pasch': 1, 'did': 1, 'noth': 1, 'to': 1, 'stop': 1, 'peopl': 1, 'from': 1, 'scam': 1, 'the': 1, 'wisconsin': 1, 'share': 1, 'childcar': 1, 'subsidi': 1, 'program': 1, 'and': 1, 'vote': 1, 'against': 1, 'fund': 1, 'for': 1, 'fraud': 1, 'investig': 1}"
reliable,"{'the': 2, 'top': 1, 'onetenth': 1, 'of': 1, '<number>': 2, 'percent': 2, 'now': 1, 'own': 1, 'almost': 1, 'as': 2, 'much': 1, 'wealth': 1, 'bottom': 1}"
fake,"{'when': 1, 'the': 2, 'unit': 1, 'state': 1, 'first': 1, 'creat': 1, 'feder': 1, 'incom': 1, 'tax': 1, 'frankli': 1, 'nobodi': 1, 'below': 1, 'a': 2, 'million': 1, 'dollar': 1, 'year': 1, 'paid': 1, 'anyth': 1}"
reliable,"{'say': 1, 'milwauke': 1, 'counti': 1, 'park': 1, 'director': 1, 'sue': 1, 'black': 1, 'ha': 1, 'not': 1, 'receiv': 1, 'a': 1, 'pay': 1, 'rais': 1, 'in': 1, 'five': 1, 'year': 1}"
fake,"{'say': 1, 'romney': 1, 'wrote': 1, 'in': 1, 'the': 1, 'first': 1, 'edit': 1, 'of': 2, 'hi': 2, 'book': 2, 'that': 1, 'health': 1, 'care': 1, 'plan': 1, 'should': 1, 'be': 1, 'expand': 1, 'nationwid': 1, 'and': 1, 'then': 1, 'you': 1, 'took': 1, 'it': 1, 'out': 1, 'your': 1}"
fake,"{'say': 1, 'gov': 1, 'john': 1, 'kasich': 1, 'impli': 1, 'that': 1, 'a': 1, 'portion': 1, 'of': 2, 'worker': 1, 'compens': 1, 'rebat': 1, 'to': 2, 'employ': 1, 'should': 1, 'be': 1, 'direct': 1, 'back': 1, 'him': 1, 'in': 1, 'the': 1, 'form': 1, 'campaign': 1, 'cash': 1}"
fake,"{'we': 1, 'have': 1, 'over': 1, '<number>': 1, 'state': 1, 'agenc': 2, 'fortyf': 1, 'of': 1, 'those': 1, 'are': 1, 'relat': 1, 'to': 1, 'health': 1, 'care': 1}"
reliable,"{'say': 1, 'rep': 1, 'bruce': 1, 'braley': 1, 'diowa': 1, 'miss': 1, '<number>': 1, 'percent': 1, 'of': 1, 'veteran': 1, 'affair': 1, 'committe': 1, 'hear': 1}"
reliable,"{'nascar': 1, 'endors': 1, 'trump': 1}"
reliable,"{'abraham': 1, 'lincoln': 1, 'visit': 1, 'and': 1, 'some': 1, 'say': 1, 'even': 1, 'danc': 1, 'in': 1, 'the': 1, 'ohio': 1, 'senat': 1, 'chamber': 1}"
fake,"{'the': 1, 'premium': 1, 'on': 1, 'medicar': 1, 'prescript': 1, 'drug': 1, 'program': 1, 'have': 1, 'fallen': 1, 'almost': 1, 'everi': 1, 'year': 1, 'sinc': 1, 'it': 1, 'began': 1}"
reliable,"{'when': 1, 'mitt': 1, 'romney': 1, 'wa': 1, 'governor': 1, 'of': 2, 'massachusett': 1, 'he': 1, 'stood': 1, 'in': 1, 'front': 1, 'a': 1, 'coal': 1, 'plant': 2, 'and': 2, 'point': 1, 'at': 1, 'it': 1, 'said': 1, 'thi': 1, 'kill': 1}"
fake,"{'the': 1, 'central': 1, 'fall': 1, 'school': 1, 'system': 1, 'spent': 1, '<cur><number>': 1, 'on': 1, 'a': 1, 'time': 1, 'clock': 1}"
reliable,"{'as': 1, 'the': 1, 'ceo': 1, 'of': 1, 'ebay': 1, 'whitman': 1, 'start': 1, 'a': 1, 'separ': 1, 'divis': 1, 'that': 1, 'onli': 1, 'sell': 1, 'porn': 1}"
reliable,"{'if': 1, 'the': 2, 'mayor': 1, 'were': 1, 'realli': 1, 'seriou': 1, 'about': 1, 'support': 1, 'philli': 1, 'schoolchildren': 1, 'and': 2, 'handl': 1, 'our': 1, 'citi': 1, 'loom': 1, 'fiscal': 1, 'crisi': 1, 'he': 1, 'could': 1, 'begin': 1, 'by': 1, 'slash': 1, 'size': 1, 'of': 1, 'hi': 2, 'own': 1, 'administr': 1, 'which': 1, 'is': 1, 'alreadi': 1, '<number>': 2, 'percent': 2, 'larger': 1, 'than': 1, 'predecessor': 1, 'more': 1, 'costli': 1}"
reliable,"{'the': 2, 'top': 1, '<number>00th': 1, 'of': 1, '<number>': 2, 'percent': 2, 'today': 1, 'in': 1, 'america': 1, 'own': 1, 'almost': 1, 'as': 2, 'much': 1, 'wealth': 1, 'bottom': 1}"
reliable,"{'<number>': 1, 'percent': 1, 'of': 2, 'the': 2, 'job': 1, 'creat': 3, 'in': 2, 'state': 1, 'ohio': 1, 'are': 3, 'small': 1, 'busi': 1, 'they': 1, 'not': 1, 'by': 1, 'huge': 1, 'corpor': 1, 'and': 1, 'those': 1, 'who': 1, 'veri': 1, 'wealthi': 1}"
fake,"{'barn': 1, 'oppos': 1, 'the': 3, 'creation': 1, 'of': 1, 'hope': 1, 'scholarship': 1, 'and': 1, 'campaign': 1, 'against': 1, 'zell': 1, 'miller': 1, 'on': 1, 'issu': 1}"
fake,"{'say': 1, 'donald': 1, 'trump': 1, 'make': 1, 'america': 1, 'great': 1, 'againhat': 1, 'were': 1, 'made': 1, 'in': 1, 'china': 1}"
reliable,"{'on': 1, 'chang': 1, 'the': 1, 'rule': 1, 'govern': 1, 'judici': 1, 'conflict': 1, 'of': 1, 'interest': 1}"
reliable,"{'no': 1, 'other': 1, 'northeastern': 1, 'state': 1, 'ha': 1, 'pass': 1, 'a': 1, 'photo': 1, 'id': 1, 'law': 1}"
fake,"{'say': 1, 'govern': 1, 'is': 1, 'a': 1, 'barrier': 1, 'to': 1, 'innov': 1, 'and': 1, 'develop': 1}"
fake,"{'we': 1, 'have': 1, 'a': 1, '<number>': 2, 'to': 1, 'percent': 1, 'dropout': 1, 'rate': 1, 'in': 1, 'our': 1, 'innerc': 1, 'school': 1}"
fake,"{'the': 1, 'law': 1, 'say': 2, 'when': 1, 'a': 1, 'polic': 1, 'offic': 1, 'stop': 1, 'you': 1, 'do': 1, 'whatev': 1, 'he': 1, 'and': 1, 'then': 1, 'deal': 1, 'with': 1, 'it': 1, 'later': 1}"
reliable,"{'jim': 1, 'renacci': 1, 'cheat': 1, 'on': 1, 'hi': 1, 'incom': 1, 'tax': 1, 'and': 1, 'is': 1, 'a': 1, 'deadbeat': 1, 'citizen': 1}"
reliable,"{'say': 1, 'gov': 1, 'rick': 1, 'perri': 1, 'wa': 2, 'for': 1, 'wall': 1, 'street': 1, 'bailout': 1, 'befor': 1, 'he': 1, 'against': 1, 'it': 1}"
fake,"{'the': 2, 'nation': 1, 'rifl': 1, 'associ': 1, 'wa': 1, 'found': 1, 'by': 1, 'religi': 1, 'leader': 1, 'who': 1, 'want': 1, 'to': 1, 'protect': 1, 'freed': 1, 'slave': 1, 'from': 1, 'ku': 1, 'klux': 1, 'klan': 1}"
reliable,"{'it': 1, 'is': 1, 'legal': 1, 'in': 1, 'ohio': 1, 'to': 1, 'fire': 1, 'an': 1, 'employe': 1, 'or': 1, 'evict': 1, 'a': 1, 'tenant': 1, 'just': 1, 'for': 1, 'be': 1, 'gay': 1}"
fake,"{'say': 1, 'hi': 1, 'hometown': 1, 'of': 1, 'paint': 1, 'creek': 1, 'texa': 1, 'doesnt': 1, 'even': 1, 'have': 1, 'a': 1, 'zip': 1, 'code': 1}"
reliable,"{'uber': 1, 'and': 1, 'other': 1, 'rideshar': 1, 'firm': 1, 'are': 1, 'not': 1, 'requir': 1, 'to': 1, 'carri': 1, 'auto': 1, 'insur': 1, 'under': 1, 'georgia': 1, 'law': 1}"
fake,"{'say': 1, 'hillari': 1, 'clinton': 1, 'believ': 1, 'that': 2, 'all': 1, 'abort': 1, 'should': 1, 'be': 1, 'legal': 1, 'even': 1, 'on': 1, 'the': 1, 'due': 1, 'date': 1, 'of': 1, 'unborn': 1, 'child': 1}"
fake,"{'the': 3, 'great': 1, 'recess': 1, 'emerg': 1, 'in': 2, 'larg': 1, 'part': 1, 'becaus': 1, 'of': 2, 'tax': 2, 'polici': 1, 'that': 1, 'slash': 1, 'on': 1, 'wealthi': 1, 'fail': 1, 'to': 1, 'invest': 1, 'middl': 1, 'class': 1, 'took': 1, 'their': 1, 'eye': 1, 'off': 1, 'wall': 1, 'street': 1, 'and': 1, 'creat': 1, 'a': 1, 'perfect': 1, 'storm': 1}"
reliable,"{'more': 1, 'than': 1, 'onc': 1, 'ive': 1, 'actual': 1, 'had': 1, 'a': 1, 'convers': 1, 'with': 1, 'the': 1, 'protest': 1, 'on': 1, 'substanc': 1}"
fake,"{'and': 1, 'the': 1, 'jerseycomeback': 1, 'keep': 1, 'roll': 1, 'thank': 1, 'to': 1, 'govchristi': 1, 'nj': 1, 'now': 1, 'ha': 1, 'lowest': 1, 'corrupt': 1, 'risk': 1, 'of': 1, 'ani': 1, 'state': 1}"
fake,"{'say': 1, 'ani': 1, 'attempt': 1, 'to': 2, 'tri': 1, 'compar': 1, 'the': 2, 'massachusett': 1, 'health': 2, 'care': 2, 'law': 2, 'with': 1, 'feder': 1, 'is': 1, 'complet': 1, 'intellectu': 1, 'dishonest': 1, 'governor': 1, 'romney': 1, 'did': 2, 'not': 1, 'rais': 1, 'one': 1, 'tax': 1, 'in': 1, 'do': 1, 'what': 1, 'he': 1}"
reliable,"{'sinc': 1, '<number>': 1, 'david': 1, 'jolli': 1, 'ha': 1, 'given': 1, 'almost': 1, '<cur><number>': 1, 'to': 1, 'keep': 1, 'democrat': 1, 'in': 1, 'congress': 1}"
fake,"{'passag': 1, 'of': 1, 'a': 1, 'referendum': 1, 'on': 1, 'an': 1, 'aquarium': 1, 'for': 2, 'clearwat': 1, 'mean': 1, 'no': 1, 'futur': 1, 'fund': 1, 'our': 1, 'neighborhood': 1}"
reliable,"{'say': 1, 'texa': 1, 'rank': 1, '00th': 1, 'nation': 1, 'in': 1, 'educ': 1, 'fund': 1, 'per': 1, 'pupil': 1}"
reliable,"{'health': 1, 'insur': 1, 'is': 1, 'more': 1, 'expens': 1, 'in': 2, 'massachusett': 1, 'than': 1, 'anywher': 1, 'els': 1, 'the': 1, 'countri': 1}"
reliable,"{'in': 2, 'two': 1, 'year': 1, 'gov': 1, 'mcauliff': 1, 'ha': 1, 'veto': 1, 'more': 1, 'bill': 1, 'that': 1, 'the': 1, 'previou': 1, 'three': 1, 'governor': 1, 'issu': 1, 'each': 1, 'of': 1, 'their': 1, 'fouryear': 1, 'term': 1}"
fake,"{'everyth': 1, 'i': 1, 'have': 1, 'said': 1, 'on': 1, 'the': 1, 'campaign': 1, 'trail': 1, 'ha': 1, 'been': 1, 'factual': 1, 'accur': 1}"
reliable,"{'when': 1, 'honduran': 1, 'children': 1, 'came': 1, 'into': 1, 'thi': 1, 'countri': 1, 'secretari': 1, 'clinton': 1, 'said': 1, 'send': 1, 'them': 1, 'back': 1}"
reliable,"{'say': 1, 'jeb': 1, 'bush': 1, 'said': 1, 'lowincom': 1, 'women': 1, 'should': 1, 'get': 1, 'their': 1, 'life': 1, 'togeth': 1, 'and': 1, 'find': 1, 'a': 1, 'husband': 1}"
reliable,"{'onli': 1, 'about': 1, '<number>': 1, 'percent': 1, 'of': 1, 'the': 1, 'stimulu': 1, 'money': 1, 'ha': 1, 'actual': 1, 'been': 1, 'spent': 1}"
fake,"{'<number>': 1, 'cent': 1, 'on': 1, 'thedollar': 1, 'from': 1, 'the': 1, 'clinton': 1, 'foundat': 1, 'goe': 1, 'to': 1, 'charit': 1, 'caus': 1}"
fake,"{'presid': 1, 'obama': 1, 'told': 1, 'peopl': 1, 'to': 1, 'skip': 1, 'come': 1, 'here': 1, 'la': 1, 'vega': 1, 'for': 1, 'convent': 1, 'and': 1, 'meet': 1}"
fake,"{'say': 1, 'john': 1, 'boehner': 1, 'admit': 1, 'we': 1, 'are': 1, 'not': 1, 'go': 1, 'to': 2, 'be': 1, 'ani': 1, 'differ': 1, 'than': 1, 'weve': 1, 'been': 1, 'by': 1, 'return': 1, 'the': 1, 'same': 1, 'fail': 1, 'econom': 1, 'polici': 1, 'that': 1, 'wreck': 1, 'our': 1, 'economi': 1}"
reliable,"{'newark': 1, 'is': 1, 'now': 1, 'home': 1, 'to': 1, 'onethird': 1, 'of': 1, 'all': 1, 'commerci': 1, 'and': 1, 'multifamili': 1, 'develop': 1}"
fake,"{'say': 1, 'debbi': 1, 'wasserman': 1, 'schultz': 1, 'vote': 1, 'repeatedli': 1, 'to': 2, 'send': 1, 'termin': 1, 'ill': 1, 'patient': 1, 'prison': 1}"
fake,"{'the': 1, 'rightw': 1, 'extremist': 1, 'are': 1, 'tri': 1, 'to': 1, 'take': 1, 'thi': 1, 'seat': 1, 'so': 1, 'they': 1, 'can': 1, 'push': 1, 'their': 1, 'antichoic': 1, 'and': 1, 'antiequ': 1, 'agenda': 1, 'through': 1, 'our': 1, 'state': 1, 'hous': 1}"
reliable,"{'we': 1, 'have': 1, '<number>': 1, 'state': 1, 'lobbyist': 1, 'that': 1, 'just': 1, 'lobbi': 1, 'the': 1, 'legislatur': 1, 'for': 1, 'money': 1, 'everi': 1, 'year': 1}"
reliable,"{'in': 1, 'atlanta': 1, 'sinc': 1, '<number>': 2, 'when': 1, 'the': 2, 'seven': 1, 'deadli': 1, 'sin': 1, 'mandatori': 1, 'minimum': 1, 'sentenc': 1, 'took': 1, 'effect': 1, 'violent': 1, 'crime': 1, 'rate': 1, 'ha': 1, 'drop': 1, 'percent': 1}"
reliable,"{'becaus': 1, 'of': 2, 'jim': 1, 'whelan': 1, 'the': 4, '0000': 2, 'are': 1, 'onli': 1, 'decad': 1, 'sinc': 1, 'when': 1, 'popul': 1, 'atlant': 1, 'citi': 1, 'actual': 1, 'went': 1, 'up': 1}"
reliable,"{'say': 1, 'trimet': 1, 'own': 1, 'analysi': 1, 'show': 1, 'that': 1, 'youthpass': 1, 'doe': 1, 'not': 1, 'actual': 1, 'add': 1, 'to': 1, 'the': 1, 'transit': 1, 'agenc': 1, 'cost': 1}"
fake,"{'john': 1, 'mccain': 1, 'offer': 1, 'billion': 1, 'in': 1, 'tax': 1, 'break': 1, 'for': 2, 'oil': 1, 'and': 1, 'drug': 1, 'compani': 1, 'but': 1, 'almost': 1, 'noth': 1, 'famili': 1, 'like': 1, 'your': 1}"
reliable,"{'we': 1, 'adopt': 1, 'the': 2, 'modern': 1, 'social': 2, 'secur': 2, 'system': 1, 'at': 1, 'a': 1, 'time': 1, 'when': 1, 'averag': 1, 'person': 1, 'die': 1, 'befor': 1, 'they': 1, 'were': 1, 'old': 1, 'enough': 1, 'to': 1, 'get': 1}"
reliable,"{'we': 1, 'are': 1, 'come': 1, 'up': 1, 'on': 1, 'our': 1, '00th': 1, 'anniversari': 1, 'of': 1, 'elect': 1, 'a': 2, 'republican': 2, 'to': 2, 'the': 3, 'unit': 2, 'state': 2, 'senat': 2, '<number>': 1, 'wa': 1, 'last': 1, 'time': 1, 'new': 1, 'jersey': 1, 'sent': 1}"
fake,"{'sen': 1, 'sherrod': 1, 'brown': 1, 'vote': 1, 'help': 1, 'pass': 1, 'barack': 1, 'obama': 1, 'jobkil': 1, 'health': 1, 'care': 1, 'law': 1, 'which': 1, 'slap': 1, 'small': 1, 'busi': 1, 'throughout': 1, 'ohio': 1, 'with': 1, 'a': 1, '<cur><number>': 1, 'billion': 1, 'tax': 1, 'increas': 1}"
fake,"{'presid': 1, 'obama': 1, 'budget': 1, 'would': 1, 'call': 1, 'for': 1, 'about': 1, '<cur><number>': 1, 'trillion': 1, 'in': 1, 'debt': 1, 'by': 1, 'the': 1, 'end': 1, 'of': 1, 'hi': 1, 'term': 1, 'if': 1, 'he': 1, 'wa': 1, 'reelect': 1}"
fake,"{'we': 1, 'know': 1, 'that': 1, 'sunday': 1, 'morn': 1, 'have': 1, 'usual': 1, 'been': 1, 'given': 1, 'over': 1, 'to': 1, 'conserv': 1, 'white': 1, 'men': 1}"
fake,"{'rob': 1, 'cornil': 1, 'ha': 1, 'been': 1, 'endors': 1, 'by': 1, '<number>': 1, 'local': 1, 'mayor': 1, 'includ': 1, 'independ': 1, 'democrat': 1, 'and': 1, 'republican': 1}"
reliable,"{'delta': 1, 'ha': 1, 'had': 1, 'the': 2, 'most': 1, 'anim': 1, 'death': 1, 'among': 1, 'us': 1, 'carrier': 1, 'in': 1, 'past': 1, 'five': 1, 'year': 1}"
reliable,"{'republican': 1, 'candid': 1, 'for': 1, 'governor': 1, 'karen': 1, 'handel': 1, 'ha': 1, 'run': 1, 'a': 1, '<number>': 1, 'percent': 1, 'neg': 1, 'campaign': 1}"
fake,"{'attorney': 1, 'gener': 1, 'eric': 1, 'holder': 1, 'is': 1, 'involv': 1, 'in': 1, 'the': 3, 'dismiss': 1, 'of': 1, 'crimin': 1, 'charg': 1, 'against': 1, 'new': 1, 'black': 1, 'panther': 1, 'parti': 1, 'for': 1, 'voter': 1, 'intimid': 1}"
reliable,"{'say': 1, 'the': 2, 'state': 1, 'share': 1, 'of': 1, 'texa': 1, 'public': 1, 'educ': 1, 'spend': 1, 'increas': 1, '<number>': 2, 'percent': 1, 'over': 1, 'past': 1, 'decad': 1, 'reach': 1, '<cur><number>': 1, 'billion': 1, 'in': 1}"
reliable,"{'in': 2, 'richmond': 1, 'va': 1, 'there': 1, 'more': 1, 'move': 1, 'van': 1, 'come': 1, 'than': 1, 'go': 1, 'out': 1}"
fake,"{'gov': 1, 'chri': 1, 'christi': 1, 'owe': 1, 'the': 1, 'state': 1, 'money': 1, 'for': 2, 'amen': 1, 'like': 1, 'extra': 1, 'gorgonzola': 1, 'chees': 1, 'hi': 1, 'staff': 1, 'on': 1, 'these': 1, 'trip': 1}"
fake,"{'im': 1, 'glad': 1, 'for': 1, 'the': 2, 'word': 2, 'of': 1, 'it': 1, 'an': 1, 'ethic': 1, 'report': 1, 'on': 1, 'corporatesponsor': 1, 'congression': 1, 'trip': 1, 'becaus': 1, 'clearli': 1, 'exoner': 1, 'me': 1}"
reliable,"{'paul': 1, 'ryan': 1, 'medicar': 1, 'plan': 1, 'could': 1, 'rais': 1, 'futur': 1, 'retire': 1, 'cost': 1, 'more': 1, 'than': 1, '<cur><number>': 1}"
fake,"{'on': 1, 'tax': 2, 'invers': 1, 'the': 1, 'wall': 1, 'street': 1, 'journalsurprisingli': 1, 'attack': 1, 'thi': 1, 'scheme': 1}"
reliable,"{'say': 1, 'stefani': 1, 'carter': 1, 'repeatedli': 1, 'use': 1, 'her': 1, 'campaign': 1, 'contributor': 1, 'donat': 1, 'to': 1, 'rent': 1, 'margarita': 1, 'machin': 1, 'for': 1, 'our': 1, 'state': 1, 'hous': 1, 'offic': 1}"
reliable,"{'you': 1, 'may': 1, 'have': 1, 'driven': 1, 'the': 2, 'length': 1, 'of': 1, 'a': 2, 'footbal': 1, 'field': 1, 'in': 1, 'five': 1, 'second': 1, 'it': 1, 'take': 1, 'to': 1, 'check': 1, 'text': 1}"
fake,"{'i': 1, 'introduc': 1, 'a': 1, 'bill': 1, 'that': 3, 'wouldv': 1, 'help': 1, 'stop': 1, 'the': 1, 'multimilliondollar': 1, 'bonu': 1, 'packag': 1, 'ceo': 1, 'grab': 1, 'on': 1, 'their': 1, 'way': 1, 'out': 1, 'mccain': 1, 'oppos': 1, 'idea': 1}"
fake,"{'there': 1, 'are': 2, 'nearli': 1, '<number>': 2, 'regist': 1, 'sex': 1, 'offend': 1, 'across': 1, 'the': 1, 'countri': 1, 'and': 1, 'at': 1, 'ani': 1, 'one': 1, 'time': 1, 'about': 1, 'unaccount': 1, 'for': 1}"
fake,"{'the': 2, 'govern': 1, 'made': 1, 'accommod': 1, 'to': 2, 'fort': 1, 'hood': 1, 'shooter': 1, 'let': 1, 'him': 1, 'grow': 1, 'a': 1, 'beard': 1, 'for': 1, 'religi': 1, 'reason': 1}"
fake,"{'say': 1, 'under': 1, 'the': 3, 'afford': 1, 'care': 1, 'act': 1, 'new': 2, 'jersey': 1, 'medicaid': 1, 'enrolle': 1, 'wont': 1, 'qualifi': 1, 'for': 1, 'match': 1, 'feder': 1, 'fund': 1, 'simpli': 1, 'becaus': 1, 'we': 1, 'ad': 1, 'them': 1, 'onto': 1, 'roll': 1, 'befor': 1, '<number>': 1}"
fake,"{'say': 1, 'the': 2, 'obama': 1, 'administr': 1, 'water': 1, 'down': 1, 'sanction': 2, 'against': 1, 'iran': 1, 'delay': 1, 'them': 1, 'and': 1, 'tri': 1, 'to': 1, 'stop': 1, 'congress': 1, 'from': 1, 'put': 1, 'tough': 1, 'in': 1, 'place': 1}"
reliable,"{'say': 1, 'central': 1, 'texa': 1, 'river': 1, 'water': 2, 'sent': 1, 'to': 1, 'downstream': 1, 'rice': 1, 'farmer': 1, 'in': 1, '<number>': 1, 'equal': 1, 'about': 1, 'three': 1, 'year': 1, 'worth': 1, 'of': 1, 'austin': 1, 'use': 1}"
fake,"{'wisconsin': 1, 'is': 1, 'one': 1, 'of': 1, 'the': 2, 'few': 1, 'state': 1, 'in': 1, 'countri': 1, 'that': 1, 'do': 1, 'not': 1, 'current': 1, 'requir': 1, 'a': 1, 'photograph': 1, 'identif': 1, 'to': 1, 'vote': 1}"
reliable,"{'these': 1, '<number>': 1, 'acr': 1, 'the': 1, 'atlanta': 1, 'brave': 1, 'want': 1, 'to': 1, 'build': 1, 'a': 1, 'stadium': 1, 'on': 1, 'have': 2, 'produc': 2, 'zero': 2, 'splost': 1, 'money': 2, 'for': 2, 'park': 1, 'and': 1, 'recreat': 1, 'educ': 1}"
fake,"{'you': 1, 'will': 1, 'learn': 1, 'more': 1, 'about': 1, 'donald': 1, 'trump': 1, 'by': 2, 'go': 1, 'down': 1, 'to': 2, 'the': 2, 'feder': 1, 'elect': 1, 'see': 1, 'financi': 1, 'disclosur': 1, 'form': 1, 'than': 1, 'look': 1, 'at': 1, 'tax': 1, 'return': 1}"
reliable,"{'cuyahoga': 1, 'counti': 3, 'pass': 1, 'a': 2, 'program': 1, 'to': 2, 'guarante': 1, 'colleg': 1, 'save': 1, 'account': 1, 'for': 1, 'everi': 1, 'singl': 1, 'child': 1, 'who': 1, 'enter': 1, 'kindergarten': 1, 'in': 2, 'thi': 1, 'the': 2, 'first': 1, 'unit': 1, 'state': 1, 'do': 1, 'so': 1}"
fake,"{'over': 1, 'half': 1, 'of': 1, 'the': 1, 'young': 1, 'peopl': 1, 'in': 1, 'medic': 1, 'dental': 1, 'and': 1, 'law': 1, 'school': 1, 'are': 1, 'women': 1}"
fake,"{'ken': 1, 'block': 1, 'support': 1, 'obamacar': 1}"
fake,"{'say': 1, 'hillari': 1, 'clinton': 1, 'want': 1, 'to': 1, 'have': 1, 'open': 1, 'border': 1}"
fake,"{'gop': 1, 'candid': 1, 'for': 1, 'governor': 1, 'nathan': 1, 'deal': 1, 'is': 1, 'a': 1, 'former': 1, 'clinton': 1, 'democrat': 1}"
fake,"{'my': 1, 'oppon': 1, 'promis': 1, 'to': 1, 'bring': 1, 'back': 1, 'old': 1, 'job': 1, 'by': 1, 'wish': 1, 'away': 1, 'the': 1, 'global': 1, 'economi': 1}"
reliable,"{'kelli': 1, 'ayott': 1, 'ha': 1, 'vote': 1, 'four': 1, 'time': 1, 'against': 1, 'the': 1, 'feder': 1, 'paycheck': 1, 'fair': 1, 'act': 1}"
reliable,"{'one': 1, 'out': 1, 'of': 1, 'everi': 1, 'four': 1, 'homeless': 1, 'peopl': 1, 'on': 1, 'our': 1, 'street': 1, 'is': 1, 'a': 1, 'veteran': 1}"
reliable,"{'it': 1, 'legal': 1, 'to': 1, 'sign': 2, 'a': 1, 'recal': 2, 'petit': 2, 'against': 1, 'gov': 1, 'scott': 1, 'walker': 1, 'even': 1, 'if': 1, 'you': 1, 'have': 1, 'alreadi': 1, 'anoth': 1, 'but': 1, 'onli': 1, 'one': 1, 'signatur': 1, 'count': 1}"
reliable,"{'educ': 1, 'fund': 1, 'of': 1, '<cur><number>': 1, 'per': 1, 'student': 1, 'is': 1, 'a': 1, 'histor': 1, 'level': 1}"
fake,"{'i': 1, 'cosponsor': 1, 'the': 1, 'rebuild': 1, 'america': 1, 'job': 1, 'act': 1, 'for': 1, 'transport': 1, 'and': 1, 'infrastructur': 1}"
fake,"{'say': 1, 'a': 1, 'new': 1, 'report': 1, 'prove': 1, 'the': 1, 'stimulu': 1, 'support': 1, 'by': 1, 'nj': 1, 'democrat': 1, 'cost': 1, '<cur><number>': 1, 'per': 1, 'job': 1}"
